2026-02-02 13:47:47 | INFO     | main                           | setup_logging        | ================================================================================
2026-02-02 13:47:47 | INFO     | main                           | setup_logging        | Sistema de logging inicializado correctamente
2026-02-02 13:47:47 | INFO     | main                           | setup_logging        | Directorio de logs: C:\Users\ricuculm\OneDrive - Metso\Documents\VS Code\7. Matrix_Rework\logs
2026-02-02 13:47:47 | INFO     | main                           | setup_logging        | Sistema: Windows - Usando SafeRotatingFileHandler
2026-02-02 13:47:47 | INFO     | main                           | setup_logging        | ================================================================================
2026-02-02 13:47:47 | INFO     | main                           | main                 | ================================================================================
2026-02-02 13:47:47 | INFO     | main                           | main                 | DocFlow Eventuales v4.0 - Iniciando aplicación
2026-02-02 13:47:47 | INFO     | main                           | main                 | ================================================================================
2026-02-02 13:47:47 | INFO     | main                           | main                 | Sistema operativo: win32
2026-02-02 13:47:47 | INFO     | main                           | main                 | Versión Python: 3.13.9
2026-02-02 13:47:47 | INFO     | main                           | main                 | --------------------------------------------------------------------------------
2026-02-02 13:47:47 | INFO     | main                           | main                 | Configurando aplicación Qt...
2026-02-02 13:47:47 | INFO     | main                           | main                 | ✅ Aplicación Qt configurada correctamente
2026-02-02 13:47:47 | INFO     | main                           | main                 | Mostrando splash screen...
2026-02-02 13:47:57 | INFO     | main                           | main                 | ✅ Splash screen mostrado
2026-02-02 13:47:57 | INFO     | main                           | main                 | Iniciando event loop de Qt...
2026-02-02 13:48:00 | INFO     | main                           | on_splash_finished   | Splash screen completado, cargando ventana principal...
2026-02-02 13:48:00 | INFO     | ui.main_window                 | __init__             | Inicializando ventana principal...
2026-02-02 13:48:00 | INFO     | utils.theme_manager            | _load_themes         | ✅ Tema cargado: dark (Tema oscuro con fondo azul nocturno profundo)
2026-02-02 13:48:00 | INFO     | utils.theme_manager            | _load_themes         | ✅ Tema cargado: light (Tema claro innovador y tecnológico con acentos verde-azulados)
2026-02-02 13:48:00 | INFO     | utils.theme_manager            | _load_config         | ✅ Configuración cargada: tema 'dark'
2026-02-02 13:48:00 | INFO     | utils.theme_manager            | __init__             | ✅ Theme Manager inicializado - Tema activo: dark
2026-02-02 13:48:00 | INFO     | ui.main_window                 | __init__             | ✅ Tema cargado: dark
2026-02-02 13:48:00 | INFO     | ui.main_window                 | __init__             | ✅ Interfaz de usuario creada
2026-02-02 13:48:00 | INFO     | ui.main_window                 | __init__             | ✅ Ventana principal inicializada correctamente
2026-02-02 13:48:01 | INFO     | main                           | on_splash_finished   | ✅ Ventana principal cargada y mostrada
2026-02-02 13:48:01 | INFO     | main                           | on_splash_finished   | --------------------------------------------------------------------------------
2026-02-02 13:48:01 | INFO     | main                           | on_splash_finished   | 🚀 Aplicación lista para usar
2026-02-02 13:48:01 | INFO     | main                           | on_splash_finished   | ================================================================================
2026-02-02 13:48:01 | INFO     | ui.main_window                 | _load_tabs           | Iniciando carga lazy de tabs...
2026-02-02 13:48:10 | INFO     | ui.main_window                 | _load_tabs           | ✅ Todos los tabs cargados correctamente
2026-02-02 13:48:10 | INFO     | ui.main_window                 | _load_tabs           | ✅ Señales de tabs conectadas
2026-02-02 13:48:37 | INFO     | workers.core_pipeline_step1    | __init__             | Worker Step 1 creado - Carpeta: C:/Users/ricuculm/OneDrive - Metso/Documents/Laboratorio/bug_docflow
2026-02-02 13:48:37 | INFO     | workers.core_pipeline_step1    | run                  | Iniciando: Creacion de Estructura (Step 1) - carpeta_base=C:/Users/ricuculm/OneDrive - Metso/Documents/Laboratorio/bug_docflow
2026-02-02 13:48:37 | INFO     | workers.core_pipeline_step1    | run                  | ✅ Carpeta creada: 1_Boletas
2026-02-02 13:48:37 | INFO     | workers.core_pipeline_step1    | run                  | ✅ Carpeta creada: 2_Afp
2026-02-02 13:48:37 | INFO     | workers.core_pipeline_step1    | run                  | ✅ Carpeta creada: 3_5ta
2026-02-02 13:48:37 | INFO     | workers.core_pipeline_step1    | run                  | ✅ Carpeta creada: 4_Convocatoria
2026-02-02 13:48:37 | INFO     | workers.core_pipeline_step1    | run                  | ✅ Carpeta creada: 5_CertificadosTrabajo
2026-02-02 13:48:37 | INFO     | workers.core_pipeline_step1    | run                  | Completado: Creacion de Estructura (Step 1) - {'carpetas_creadas': 5, 'carpetas_existentes': 0, 'errores': 0, 'total': 5}
2026-02-02 13:48:40 | INFO     | CorePipelineStep2Worker        | info                 | 🚀 Iniciando clasificación y división de PDFs
2026-02-02 13:48:40 | INFO     | CorePipelineStep2Worker        | info                 | 📂 Carpeta de trabajo: C:/Users/ricuculm/OneDrive - Metso/Documents/Laboratorio/bug_docflow
2026-02-02 13:48:40 | INFO     | CorePipelineStep2Worker        | info                 | 📋 [1/5] Buscando y clasificando PDFs...
2026-02-02 13:48:40 | INFO     | CorePipeline2_Mover            | info                 | Encontrados 5 archivo(s) PDF en carpeta madre
2026-02-02 13:48:40 | INFO     | CorePipeline2_Mover            | info                 | Clasificado: 'Cert Afp.pdf' → 2_Afp (palabra: 'afp')
2026-02-02 13:48:40 | INFO     | CorePipeline2_Mover            | info                 | Clasificado: 'Cert Quinta.pdf' → 3_5ta (palabra: 'quinta')
2026-02-02 13:48:40 | INFO     | CorePipeline2_Mover            | info                 | Clasificado: 'CERTIFICADO DE TRABAJO.pdf' → 5_CertificadosTrabajo (palabra: 'certificado de trabajo')
2026-02-02 13:48:40 | INFO     | CorePipeline2_Mover            | info                 | Clasificado: 'Convocatoria.pdf' → 4_Convocatoria (palabra: 'convocatoria')
